Title,Subtitle,Author,Publisher,PublicationDate,Pages,Language,Format,Play_CSV,Play_CA,Play_US,Books_com,Books_ca,FrontCoverPreview,Cover_HD_z3,Cover_HD_z2,Books_Search,Books_ISBN_Search,VolumeID_From_Play
Echo Protocol,Last Transmission – Part I: Signal Found,Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEBKTSQNfM,https://play.google.com/store/books/details?id=AQAAAEBKTSQNfM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEBKTSQNfM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEBKTSQNfM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEBKTSQNfM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEBKTSQNfM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEBKTSQNfM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEBKTSQNfM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Echo+Protocol+Guillaume+Lessard,,AQAAAEBKTSQNfM
Quantum Jumping Unlocked Edition 2,"Harness Parallel Realities, Rewire Your Mind, and Leap Into the Life You Truly Desire",Guillaume Lessard,iD01t Productions,D:2025-04-23,28.0,fre,Digital,https://play.google.com/store/books/details?id=psZYEQAAQBAJ,https://play.google.com/store/books/details?id=psZYEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=psZYEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=psZYEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=psZYEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=psZYEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=psZYEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=psZYEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Quantum+Jumping+Unlocked+Edition+2+Guillaume+Lessard,,psZYEQAAQBAJ
L'énigme quantique : Percer les mystères de la réalité,"Exploration de la mécanique quantique, des mondes parallèles et de la nature de la conscience",Guillaume Lessard,iD01t Productions,,,fre,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAECKuDv4oM,https://play.google.com/store/books/details?id=AQAAAECKuDv4oM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAECKuDv4oM&gl=US&hl=en,https://books.google.com/books?id=AQAAAECKuDv4oM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAECKuDv4oM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAECKuDv4oM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAECKuDv4oM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAECKuDv4oM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=L%27%C3%A9nigme+quantique+%3A+Percer+les+myst%C3%A8res+de+la+r%C3%A9alit%C3%A9+Guillaume+Lessard,,AQAAAECKuDv4oM
To the Top of the Mountain,"A Journey of Health, Wellness, and Adventure",Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDy_VS9tM,https://play.google.com/store/books/details?id=AQAAAEDy_VS9tM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDy_VS9tM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDy_VS9tM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDy_VS9tM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDy_VS9tM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDy_VS9tM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDy_VS9tM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=To+the+Top+of+the+Mountain+Guillaume+Lessard,,AQAAAEDy_VS9tM
iD01t Academy: Python Exercises Book 1 – Edition 2,"10 Real GUI Projects with Source Code, Step-by-Step Explanations, and a Free GitHub Learning App",Guillaume Lessard,iD01t Productions,D:2025-02-13,22.0,eng,Digital,https://play.google.com/store/books/details?id=nypGEQAAQBAJ,https://play.google.com/store/books/details?id=nypGEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=nypGEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=nypGEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=nypGEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=nypGEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=nypGEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=nypGEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=iD01t+Academy%3A+Python+Exercises+Book+1+%E2%80%93+Edition+2+Guillaume+Lessard,,nypGEQAAQBAJ
Quantum Revolution: Unveiling the Future with Willow,How Google's Quantum Chip Redefines Computing for the Next Era,Guillaume Lessard,iD01t Productions,D:2025-01-21,35.0,eng,Digital,https://play.google.com/store/books/details?id=9rxAEQAAQBAJ,https://play.google.com/store/books/details?id=9rxAEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=9rxAEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=9rxAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=9rxAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=9rxAEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=9rxAEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=9rxAEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Quantum+Revolution%3A+Unveiling+the+Future+with+Willow+Guillaume+Lessard,,9rxAEQAAQBAJ
Jimmy Carter: A Legacy of Compassion and Leadership,From Peanut Farmer to Nobel Laureate – A Life That Shaped the World,Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEAKqCboPM,https://play.google.com/store/books/details?id=AQAAAEAKqCboPM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEAKqCboPM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEAKqCboPM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEAKqCboPM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEAKqCboPM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEAKqCboPM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEAKqCboPM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Jimmy+Carter%3A+A+Legacy+of+Compassion+and+Leadership+Guillaume+Lessard,,AQAAAEAKqCboPM
CHRIST QU’IL EST INTELLIGENT D’AIMER,,Guillaume Lessard,iD01t Productions,D:2025-08-16,14.0,fre,Digital,https://play.google.com/store/books/details?id=hTV-EQAAQBAJ,https://play.google.com/store/books/details?id=hTV-EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=hTV-EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=hTV-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=hTV-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=hTV-EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=hTV-EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=hTV-EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=CHRIST+QU%E2%80%99IL+EST+INTELLIGENT+D%E2%80%99AIMER+Guillaume+Lessard,,hTV-EQAAQBAJ
Love Prevails 2,A Legacy Rewritten,Guillaume Lessard,iD01t Productions,,79.0,eng,Digital,https://play.google.com/store/books/details?id=Zs45EQAAQBAJ,https://play.google.com/store/books/details?id=Zs45EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=Zs45EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=Zs45EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=Zs45EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=Zs45EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=Zs45EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=Zs45EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Love+Prevails+2+Guillaume+Lessard,,Zs45EQAAQBAJ
Onyx Storm,"How to Navigate Uncertainty, Harness Creative Resilience, and Thrive in a Post-Platform World",Guillaume Lessard,iD01t Productions,D:2025-08-28,83.0,eng,Digital,https://play.google.com/store/books/details?id=ltSBEQAAQBAJ,https://play.google.com/store/books/details?id=ltSBEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=ltSBEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=ltSBEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=ltSBEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=ltSBEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=ltSBEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=ltSBEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Onyx+Storm+Guillaume+Lessard,,ltSBEQAAQBAJ
