title,authors,google_volume_id,api_url,info_page,cover_zoom2,cover_zoom3,cover_zoom5,type
Echo Protocol,,AQAAAEBKTSQNfM,https://www.googleapis.com/books/v1/volumes/AQAAAEBKTSQNfM,https://books.google.com/books?id=AQAAAEBKTSQNfM,https://books.googleusercontent.com/books/content?id=AQAAAEBKTSQNfM&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=AQAAAEBKTSQNfM&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=AQAAAEBKTSQNfM&printsec=frontcover&img=1&zoom=5,audiobook
Quantum Jumping Unlocked Edition 2,,psZYEQAAQBAJ,https://www.googleapis.com/books/v1/volumes/psZYEQAAQBAJ,https://books.google.com/books?id=psZYEQAAQBAJ,https://books.googleusercontent.com/books/content?id=psZYEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=psZYEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=psZYEQAAQBAJ&printsec=frontcover&img=1&zoom=5,ebook
L'énigme quantique : Percer les mystères de la réalité,,AQAAAECKuDv4oM,https://www.googleapis.com/books/v1/volumes/AQAAAECKuDv4oM,https://books.google.com/books?id=AQAAAECKuDv4oM,https://books.googleusercontent.com/books/content?id=AQAAAECKuDv4oM&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=AQAAAECKuDv4oM&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=AQAAAECKuDv4oM&printsec=frontcover&img=1&zoom=5,audiobook
To the Top of the Mountain,,AQAAAEDy_VS9tM,https://www.googleapis.com/books/v1/volumes/AQAAAEDy_VS9tM,https://books.google.com/books?id=AQAAAEDy_VS9tM,https://books.googleusercontent.com/books/content?id=AQAAAEDy_VS9tM&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=AQAAAEDy_VS9tM&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=AQAAAEDy_VS9tM&printsec=frontcover&img=1&zoom=5,audiobook
iD01t Academy: Python Exercises Book 1 – Edition 2,,nypGEQAAQBAJ,https://www.googleapis.com/books/v1/volumes/nypGEQAAQBAJ,https://books.google.com/books?id=nypGEQAAQBAJ,https://books.googleusercontent.com/books/content?id=nypGEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=nypGEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=nypGEQAAQBAJ&printsec=frontcover&img=1&zoom=5,ebook
Quantum Revolution: Unveiling the Future with Willow,,9rxAEQAAQBAJ,https://www.googleapis.com/books/v1/volumes/9rxAEQAAQBAJ,https://books.google.com/books?id=9rxAEQAAQBAJ,https://books.googleusercontent.com/books/content?id=9rxAEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=9rxAEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=9rxAEQAAQBAJ&printsec=frontcover&img=1&zoom=5,ebook
Jimmy Carter: A Legacy of Compassion and Leadership,,AQAAAEAKqCboPM,https://www.googleapis.com/books/v1/volumes/AQAAAEAKqCboPM,https://books.google.com/books?id=AQAAAEAKqCboPM,https://books.googleusercontent.com/books/content?id=AQAAAEAKqCboPM&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=AQAAAEAKqCboPM&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=AQAAAEAKqCboPM&printsec=frontcover&img=1&zoom=5,audiobook
CHRIST QU’IL EST INTELLIGENT D’AIMER,,hTV-EQAAQBAJ,https://www.googleapis.com/books/v1/volumes/hTV-EQAAQBAJ,https://books.google.com/books?id=hTV-EQAAQBAJ,https://books.googleusercontent.com/books/content?id=hTV-EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=hTV-EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=hTV-EQAAQBAJ&printsec=frontcover&img=1&zoom=5,ebook
Love Prevails 2,,Zs45EQAAQBAJ,https://www.googleapis.com/books/v1/volumes/Zs45EQAAQBAJ,https://books.google.com/books?id=Zs45EQAAQBAJ,https://books.googleusercontent.com/books/content?id=Zs45EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=Zs45EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=Zs45EQAAQBAJ&printsec=frontcover&img=1&zoom=5,ebook
Onyx Storm,,ltSBEQAAQBAJ,https://www.googleapis.com/books/v1/volumes/ltSBEQAAQBAJ,https://books.google.com/books?id=ltSBEQAAQBAJ,https://books.googleusercontent.com/books/content?id=ltSBEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.googleusercontent.com/books/content?id=ltSBEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.googleusercontent.com/books/content?id=ltSBEQAAQBAJ&printsec=frontcover&img=1&zoom=5,ebook
